fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
0.148754412,0.169828882,-0.183501491,0.480625758,21556.82967,0.999988399,Gains,Interaction,19
0.208620117,0.970966142,-1.761829823,1.789355651,2363.49214,1.000879457,Gains,Temp change,20
0.021220743,0.010855671,0.00020063,0.042648383,16606.19954,1.000050406,Gains,Average Temp,20
-0.024171462,0.190840403,-0.394018991,0.348599649,22774.33713,0.999965302,Gains,Interaction,20
0.485269195,0.632435785,-0.870472403,1.652241019,2727.204958,1.000887527,Gains,Temp change,21
0.014766447,0.010280731,-0.005607784,0.034974114,17956.63854,1.000330566,Gains,Average Temp,21
0.582617429,0.180573575,0.226246142,0.935586272,22237.87736,0.999931644,Gains,Interaction,21
-0.206832175,0.994526654,-2.234434583,1.693536891,4703.811082,1.000412244,Gains,Temp change,22
0.011111308,0.009727962,-0.007928543,0.030299219,18412.36602,0.999908251,Gains,Average Temp,22
0.623510834,0.171656561,0.291580487,0.960947814,19003.00924,1.000283334,Gains,Interaction,22
0.440311057,0.396272515,-0.446362947,1.190413912,4887.416143,1.00050247,Gains,Temp change,23
0.012465615,0.010173754,-0.007562723,0.032549425,16816.80519,0.999957677,Gains,Average Temp,23
0.059250623,0.172541663,-0.281262445,0.395047709,18572.53529,0.999867757,Gains,Interaction,23
-0.024029037,0.690284192,-1.28527271,1.494376433,7022.799983,1.000274017,Gains,Temp change,24
-0.006936932,0.011179764,-0.028862742,0.014953499,24408.16038,0.999986592,Gains,Average Temp,24
0.379041055,0.193071369,0.003457931,0.76222224,29054.89726,0.999948997,Gains,Interaction,24
0.685422696,0.896415455,-1.13292137,2.453369633,3821.927227,1.000470591,Gains,Temp change,25
-0.022359965,0.010818708,-0.043610876,-0.00128924,16806.19192,0.999925904,Gains,Average Temp,25
0.304297142,0.180058057,-0.052809138,0.657988611,21651.06202,1.000027264,Gains,Interaction,25
0.137471139,0.577453632,-1.134814274,1.151635567,4821.39121,1.000627808,Gains,Temp change,26
0.024908192,0.010306956,0.0047178,0.044910238,18425.28355,0.999922456,Gains,Average Temp,26
0.399020627,0.180461991,0.046991104,0.749483034,24447.68454,0.99987375,Gains,Interaction,26
0.027050237,0.450769234,-0.707136855,1.02191299,4354.187143,1.00063414,Gains,Temp change,27
-0.009247261,0.009972684,-0.028921995,0.010192983,15916.21717,1.000080005,Gains,Average Temp,27
0.345682161,0.184684471,-0.013364149,0.710131259,20296.06963,1.000199165,Gains,Interaction,27
0.333680368,0.895970237,-1.493489937,2.197130733,6899.412794,1.000737242,Gains,Temp change,28
0.002002021,0.011240527,-0.019791045,0.023995776,22843.97471,0.999856678,Gains,Average Temp,28
0.704813712,0.203645604,0.30376886,1.102324554,27776.01721,0.999758773,Gains,Interaction,28
0.01243475,0.494325259,-0.965722991,0.97782492,3226.610131,1.000643316,Gains,Temp change,29
0.007437863,0.010165724,-0.012638566,0.027305467,21777.79795,0.999945163,Gains,Average Temp,29
0.503721976,0.176465818,0.154764086,0.848485195,22857.10951,0.999857664,Gains,Interaction,29
0.303214227,0.723780478,-0.992520989,1.665363,2564.517782,1.001223805,Gains,Temp change,30
0.014334009,0.009537392,-0.004378634,0.032958699,23469.73155,0.999971749,Gains,Average Temp,30
0.31183138,0.169868037,-0.022142755,0.646498433,24849.18573,0.999888314,Gains,Interaction,30
1.009368362,1.10907115,-0.930017361,3.177478574,3197.349803,1.001211123,Gains,Temp change,31
0.013194015,0.010870124,-0.008327827,0.034483359,17246.7843,0.999866724,Gains,Average Temp,31
0.220373721,0.19389808,-0.159073482,0.605983668,22050.51402,0.999827264,Gains,Interaction,31
0.055300343,0.336883999,-0.603305851,0.655038926,4369.635846,1.001041139,Gains,Temp change,32
0.007542307,0.010422601,-0.012931807,0.027925442,21702.60779,0.999870098,Gains,Average Temp,32
0.36001353,0.169565854,0.027997389,0.692240332,23576.10981,0.999801022,Gains,Interaction,32
0.625025512,0.872433138,-0.879554171,2.613700878,4376.53361,1.000749389,Gains,Temp change,33
0.000842454,0.010180894,-0.019082765,0.020728402,18318.41817,1.000041016,Gains,Average Temp,33
0.363909021,0.181767112,0.006842506,0.718745395,22835.257,0.999918478,Gains,Interaction,33
-0.051890164,0.391956252,-0.87989701,0.576343323,3938.427116,1.000727039,Gains,Temp change,34
0.007464857,0.009738911,-0.011423327,0.026537896,19696.83616,1.000190964,Gains,Average Temp,34
0.048440858,0.181920715,-0.312099566,0.405576442,23850.71967,0.999960289,Gains,Interaction,34
0.088433393,0.370293238,-0.555820432,0.882037544,4529.368826,1.000866221,Gains,Temp change,35
0.022070184,0.010350605,0.001412924,0.042098083,21399.3293,0.999911611,Gains,Average Temp,35
0.126190975,0.184188354,-0.23549977,0.486840178,21395.60841,0.999979678,Gains,Interaction,35
-0.149769907,0.492231438,-1.159428602,0.792458945,6124.983586,1.000277773,Gains,Temp change,36
0.00033024,0.009818105,-0.019002802,0.01962036,18793.5703,0.999923943,Gains,Average Temp,36
0.501997125,0.170882051,0.16805934,0.839351751,23192.75521,0.999847742,Gains,Interaction,36
0.244398133,0.516509286,-0.887744465,1.222646473,4003.975471,1.000557852,Gains,Temp change,37
0.003962475,0.010301447,-0.016303343,0.023978705,16766.57871,0.999915829,Gains,Average Temp,37
0.335881592,0.185756407,-0.034274231,0.70109067,19020.55918,0.999885208,Gains,Interaction,37
-0.005827054,0.33442156,-0.60225003,0.711953583,5899.501263,1.000254971,Gains,Temp change,38
-0.001144653,0.01029375,-0.021166886,0.019276685,5183.466492,1.00118586,Gains,Average Temp,38
0.455443799,0.176705413,0.105598226,0.799384529,20758.29826,0.999977739,Gains,Interaction,38
0.582350677,0.804591873,-0.960592546,2.16346547,3621.680234,1.000537492,Gains,Temp change,39
0.006559089,0.011988332,-0.016792687,0.030104212,21454.13125,1.000279654,Gains,Average Temp,39
0.05217057,0.209911849,-0.358162704,0.462833284,24623.04637,0.999881794,Gains,Interaction,39
0.173987208,0.584267459,-1.030604146,1.143691833,2155.959145,1.001556244,Gains,Temp change,40
0.007235508,0.010070845,-0.012522934,0.027007481,22585.02615,0.999868534,Gains,Average Temp,40
