fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
-0.024967867,0.005008254,-0.034796558,-0.015128921,17294.15569,0.999913867,Losses,Average Temp,19
-0.023290032,0.090638085,-0.201742819,0.152464168,20053.2411,1.000051117,Losses,Interaction,19
-0.190884371,0.283473104,-0.835943072,0.271203968,5442.181703,1.000556305,Losses,Temp change,20
-0.026889858,0.004938666,-0.036660746,-0.017286389,13721.35983,0.999934908,Losses,Average Temp,20
0.024968786,0.088101543,-0.147428653,0.196573838,18819.78088,0.999902346,Losses,Interaction,20
-0.138617315,0.243583737,-0.647623875,0.314022599,3723.696625,1.0007368,Losses,Temp change,21
-0.016829438,0.005144255,-0.026923401,-0.006763346,12033.57302,0.999979467,Losses,Average Temp,21
-0.176533108,0.077175382,-0.327305968,-0.026539652,17758.30584,0.999850887,Losses,Interaction,21
-0.524708637,0.745687349,-2.032571362,0.959781136,5126.54741,1.000332669,Losses,Temp change,22
-0.016913879,0.00585832,-0.028434745,-0.005532874,17927.83392,0.999816202,Losses,Average Temp,22
0.09211541,0.105476167,-0.116708245,0.297431739,24382.04411,0.999867785,Losses,Interaction,22
-0.275441207,0.418052628,-1.153962975,0.477266984,3430.361999,1.000808141,Losses,Temp change,23
-0.024718455,0.00563236,-0.035746354,-0.013759608,17442.55134,0.999931211,Losses,Average Temp,23
-0.030988358,0.105334302,-0.234952762,0.17265116,22926.40979,0.999924096,Losses,Interaction,23
-0.228553821,0.280449279,-0.818389967,0.310255237,5425.86427,1.000791823,Losses,Temp change,24
-0.024603197,0.005315014,-0.035005072,-0.014126918,16152.78059,1.000155058,Losses,Average Temp,24
0.037136448,0.096463156,-0.151933092,0.224120521,17621.40078,0.99992048,Losses,Interaction,24
-0.028947154,0.210864639,-0.449497522,0.349947418,3488.739865,1.000513775,Losses,Temp change,25
-0.032079305,0.006147069,-0.044279654,-0.019900362,18974.17162,0.999896591,Losses,Average Temp,25
-0.155419619,0.110568428,-0.372163338,0.062775122,27329.10969,0.999845833,Losses,Interaction,25
-0.134056826,0.13173922,-0.377674882,0.126994845,3862.323252,1.000156191,Losses,Temp change,26
-0.021769535,0.00482177,-0.031461748,-0.01275761,10475.20156,1.000068106,Losses,Average Temp,26
0.013943609,0.091011711,-0.165248461,0.187131698,23840.23512,0.999858502,Losses,Interaction,26
-0.262335608,0.286556829,-0.914785726,0.200511759,4664.684438,1.000374594,Losses,Temp change,27
-0.020392712,0.006127405,-0.032402102,-0.008262031,16293.0604,0.99983697,Losses,Average Temp,27
-0.105738826,0.101495142,-0.304981924,0.092450319,21443.78628,0.999808809,Losses,Interaction,27
-0.01747223,0.152311082,-0.345803635,0.238923532,4663.738964,1.000684641,Losses,Temp change,28
-0.021878496,0.004615702,-0.031011368,-0.012928191,20783.97962,0.999862362,Losses,Average Temp,28
-0.087350412,0.080153851,-0.244462504,0.068428615,20485.85182,0.999981207,Losses,Interaction,28
0.043823524,0.475357106,-0.928195433,0.997697371,4347.666216,1.000700392,Losses,Temp change,29
-0.014498462,0.003748708,-0.022023759,-0.00720669,20855.1149,0.999905559,Losses,Average Temp,29
-0.023413329,0.070275468,-0.1592972,0.113529627,23220.33177,0.999929152,Losses,Interaction,29
-0.070854375,0.19255314,-0.498303868,0.267800515,6265.876093,1.000485039,Losses,Temp change,30
-0.020111059,0.005590636,-0.031207859,-0.009285704,14029.15538,1.000002477,Losses,Average Temp,30
-0.067755694,0.102656291,-0.271048584,0.134446872,23404.4327,0.999877462,Losses,Interaction,30
0.057241225,0.255377627,-0.443184529,0.555928357,4257.760616,1.000401204,Losses,Temp change,31
-0.025806441,0.006417674,-0.038394191,-0.013256915,16751.00357,0.999857492,Losses,Average Temp,31
-0.128155168,0.110126798,-0.342882873,0.091410085,20904.27478,0.999931613,Losses,Interaction,31
-0.325250618,0.242449346,-0.828410705,0.028734945,1403.198919,1.002206552,Losses,Temp change,32
-0.028874998,0.005909617,-0.040551759,-0.017241157,11230.70621,0.999933979,Losses,Average Temp,32
-0.120712125,0.104098209,-0.326704856,0.079608926,17260.48475,0.999860555,Losses,Interaction,32
-0.172142889,0.180698782,-0.595503636,0.112031759,5215.082456,1.000157879,Losses,Temp change,33
-0.0151119,0.005213472,-0.025404985,-0.004951264,12239.47987,1.000001651,Losses,Average Temp,33
-0.055769204,0.095099305,-0.239455005,0.129444393,19481.75439,1.000088668,Losses,Interaction,33
-0.090996214,0.293964809,-0.668687231,0.450540853,3874.26192,1.00035661,Losses,Temp change,34
-0.026878116,0.00569545,-0.038138514,-0.01588081,21172.17872,0.999887905,Losses,Average Temp,34
-0.077429753,0.100499287,-0.275813993,0.121547489,24093.05838,0.99988227,Losses,Interaction,34
-0.102290797,0.261079998,-0.607486492,0.418624045,3642.034726,1.000966787,Losses,Temp change,35
-0.024976831,0.004771434,-0.034507603,-0.015811267,12618.41256,0.999877994,Losses,Average Temp,35
-0.021175667,0.087248114,-0.194159434,0.144888018,18262.44804,1.000167564,Losses,Interaction,35
-0.090233799,0.142764447,-0.398335892,0.172548659,5998.317419,1.000480368,Losses,Temp change,36
-0.012910717,0.004312426,-0.021670758,-0.004721178,11521.7353,0.999870769,Losses,Average Temp,36
-0.134777843,0.076805101,-0.285411713,0.014791196,24719.30986,0.999864595,Losses,Interaction,36
-0.03559682,0.244720666,-0.563240576,0.435111898,6785.574456,1.000311172,Losses,Temp change,37
-0.021040671,0.005637247,-0.032185992,-0.010159368,15242.34771,1.000031437,Losses,Average Temp,37
-0.010827056,0.109514086,-0.226361671,0.204382473,23368.22355,0.999922342,Losses,Interaction,37
-0.586845903,0.740934245,-2.11239835,0.837670089,4087.439582,1.001099188,Losses,Temp change,38
-0.01867804,0.005903302,-0.030247481,-0.007109913,13741.96087,0.999975432,Losses,Average Temp,38
0.210764419,0.109285217,-0.004727896,0.423932766,19065.28997,1.000146422,Losses,Interaction,38
0.133381049,0.290312588,-0.478742505,0.716176057,6060.27367,1.000453684,Losses,Temp change,39
-0.024932271,0.005300867,-0.035379897,-0.014606787,18092.03853,0.999799529,Losses,Average Temp,39
0.044231228,0.095038053,-0.142074525,0.230656014,23833.94154,0.999796465,Losses,Interaction,39
-0.093676681,0.229115607,-0.649519566,0.286192709,4328.747636,1.000064639,Losses,Temp change,40
-0.003378309,0.004206382,-0.011963475,0.004603841,12235.3113,1.000077836,Losses,Average Temp,40
-0.218316857,0.083467384,-0.383615478,-0.055427684,20763.29937,0.99985643,Losses,Interaction,40
-0.116486404,0.309175797,-0.759558176,0.429104247,3835.905283,1.000453947,Losses,Temp change,41
-0.00988469,0.005919327,-0.021663281,0.001536461,11773.76595,1.000041587,Losses,Average Temp,41
-0.287833824,0.115937065,-0.514791434,-0.060896574,18943.32396,0.999949438,Losses,Interaction,41
-0.077718565,0.405184027,-0.909355811,0.709720944,4348.468731,1.000642709,Losses,Temp change,42
-0.024903669,0.005283361,-0.035252441,-0.014588581,16582.04398,0.999904714,Losses,Average Temp,42
0.050760099,0.090540441,-0.125430731,0.229259601,20091.07028,1.000137273,Losses,Interaction,42
-0.069013906,0.185820832,-0.36994798,0.25319332,1685.492089,1.000450189,Losses,Temp change,43
-0.025819766,0.004886171,-0.035563398,-0.016331075,16935.40893,0.999844795,Losses,Average Temp,43
-0.034428778,0.08242385,-0.19616676,0.126670644,20020.98336,0.999834027,Losses,Interaction,43
0.016358333,0.226314368,-0.48074146,0.428952314,6387.39798,1.000171142,Losses,Temp change,44
-0.02218877,0.006002343,-0.034121765,-0.010452692,15518.29847,0.999952128,Losses,Average Temp,44
0.015381824,0.111467188,-0.20508247,0.235624237,26828.91637,0.999825177,Losses,Interaction,44
-0.41249277,0.543362864,-1.499998322,0.569110078,3496.728583,1.000648338,Losses,Temp change,45
-0.016494174,0.004850645,-0.025996392,-0.007064326,20291.6483,0.999851151,Losses,Average Temp,45
-0.241149889,0.092848721,-0.423857739,-0.061793257,23683.73632,1.00002087,Losses,Interaction,45
0.080948038,0.234472687,-0.362938643,0.54925031,3723.920488,1.001712758,Losses,Temp change,46
-0.027422028,0.005234212,-0.037672184,-0.017210249,16968.38897,1.000200171,Losses,Average Temp,46
-0.000103209,0.094523534,-0.186110813,0.185107406,25116.51635,0.999924428,Losses,Interaction,46
-0.021556305,0.165452665,-0.376104886,0.282797423,6271.189575,1.000040049,Losses,Temp change,47
-0.020868137,0.005798131,-0.032401722,-0.009752726,11087.0665,1.00015895,Losses,Average Temp,47
-0.07445805,0.095545979,-0.264197285,0.113039827,20019.88746,0.999989449,Losses,Interaction,47
-0.030592393,0.129316959,-0.270527489,0.208174241,3965.86426,1.000921778,Losses,Temp change,48
-0.022001033,0.005010173,-0.031738648,-0.012265274,18277.40646,1.000165507,Losses,Average Temp,48
