fixed.Estimate,fixed.Est.Error,fixed.l.95..CI,fixed.u.95..CI,fixed.Eff.Sample,fixed.Rhat,Metric,Term,run
0.11117422,0.03621431,0.040115455,0.182000221,17697.55219,1.000152169,Richness,Interaction,19
0.104217838,0.217441664,-0.312096579,0.5227596,2705.396067,1.002087735,Richness,Temp change,20
0.002185241,0.001757539,-0.001233486,0.005646864,17996.97487,0.999906667,Richness,Average Temp,20
0.102553479,0.038865771,0.026758785,0.178471006,22497.10665,0.999975512,Richness,Interaction,20
0.100944926,0.151242988,-0.205951993,0.367330762,4387.489382,1.000895326,Richness,Temp change,21
0.001153596,0.001803453,-0.00241679,0.00468273,23708.73322,0.999906904,Richness,Average Temp,21
0.118312994,0.040995437,0.037118345,0.198974734,20070.75248,0.999941445,Richness,Interaction,21
0.151008064,0.286455724,-0.366665535,0.71995623,1696.065984,1.001063226,Richness,Temp change,22
0.00035066,0.001613666,-0.002790423,0.003522401,15719.46977,1.000014504,Richness,Average Temp,22
0.19376038,0.035410722,0.124004272,0.262961628,22206.8517,0.99985527,Richness,Interaction,22
0.135104012,0.147486253,-0.170305815,0.412786044,4077.203606,0.999961122,Richness,Temp change,23
0.001365873,0.00173939,-0.002031311,0.00478764,19325.44627,0.999990137,Richness,Average Temp,23
0.270348701,0.042526492,0.187495424,0.352273618,20273.05894,1.000278078,Richness,Interaction,23
0.146757922,0.196044825,-0.209303923,0.558280604,4515.870882,1.000445694,Richness,Temp change,24
-0.000515974,0.001657119,-0.003744789,0.00270127,17692.94906,0.999963409,Richness,Average Temp,24
0.18008936,0.037619792,0.106123012,0.254388444,22138.51559,0.999823024,Richness,Interaction,24
0.062192385,0.069696887,-0.064352636,0.198113531,3804.177975,1.001214374,Richness,Temp change,25
0.005005134,0.001722722,0.001674508,0.008424181,15778.80497,1.000078549,Richness,Average Temp,25
0.04897355,0.036860913,-0.022947486,0.121473302,18935.97046,0.999958043,Richness,Interaction,25
0.129371916,0.107473981,-0.074633533,0.344197136,3895.89054,1.000504552,Richness,Temp change,26
0.004401388,0.001605455,0.001272237,0.007508483,19832.67266,0.999876817,Richness,Average Temp,26
0.062296981,0.037091194,-0.009647242,0.135818449,21482.20737,0.999953429,Richness,Interaction,26
0.038882436,0.130197227,-0.236161091,0.282923189,5014.024382,1.000319292,Richness,Temp change,27
0.003752754,0.001757178,0.000289561,0.007162452,20794.60073,0.999848061,Richness,Average Temp,27
0.153481206,0.037624457,0.080602465,0.227430746,18358.23688,0.999965257,Richness,Interaction,27
0.014390751,0.14688331,-0.306139824,0.2742503,4542.680531,1.000796631,Richness,Temp change,28
-0.000491922,0.00166582,-0.003758068,0.002798722,16852.69755,0.999841822,Richness,Average Temp,28
0.054729015,0.036507923,-0.017025575,0.127372566,19747.74345,0.999986917,Richness,Interaction,28
0.062216168,0.210000632,-0.34364719,0.505557334,4508.252564,1.000383407,Richness,Temp change,29
0.002661065,0.001770253,-0.000817096,0.006158882,22478.32247,0.999886313,Richness,Average Temp,29
0.12448453,0.037150814,0.05235642,0.196352182,23267.53543,0.999803405,Richness,Interaction,29
0.037105096,0.148474418,-0.270878912,0.305938096,4545.597164,1.000129114,Richness,Temp change,30
0.002517961,0.001847883,-0.001120162,0.006124803,20565.20592,1.000193854,Richness,Average Temp,30
0.093355562,0.040562226,0.014592358,0.172840416,19444.73044,1.000027868,Richness,Interaction,30
0.096970198,0.09720368,-0.097445208,0.291131095,6378.088038,1.00130839,Richness,Temp change,31
0.001268914,0.001833537,-0.002332185,0.004843811,18856.1221,1.000004039,Richness,Average Temp,31
0.113647714,0.04062663,0.03309536,0.193042702,21815.24249,0.999986188,Richness,Interaction,31
0.081466154,0.081136854,-0.066856417,0.247241407,6421.612918,1.000135741,Richness,Temp change,32
0.003389432,0.001761697,-2.33E-05,0.006842427,24717.47323,0.999982799,Richness,Average Temp,32
0.125273022,0.037768894,0.050639876,0.199473847,23832.66206,0.999864235,Richness,Interaction,32
0.090906603,0.195842421,-0.317213952,0.473298161,5893.51888,1.000175535,Richness,Temp change,33
0.002342387,0.001734773,-0.001012896,0.005787247,22519.4331,0.999856975,Richness,Average Temp,33
0.039538923,0.038761041,-0.036269468,0.115495493,25291.38565,1.000071377,Richness,Interaction,33
0.059322973,0.126035013,-0.160714221,0.295373927,2012.979458,1.00131479,Richness,Temp change,34
